Class,Alcohol,Ash,Alcalinity of ash,Magnesium,Total phenols,Flavanoids,Nonflavanoid phenols,Color intensity,Hue,Proline
1,13.71,2.36,16.6,101,2.61,2.88,0.27,3.8,1.11,1035
2,12.22,1.94,19.0,92,2.36,2.04,0.39,2.7,0.86,312
3,13.27,2.26,20.0,120,1.59,0.69,0.43,10.2,0.59,835
3,13.16,2.15,21.0,102,1.5,0.55,0.43,4.0,0.6,830
2,13.86,2.67,25.0,86,2.95,2.86,0.21,3.38,1.36,410
3,12.85,2.58,22.0,106,1.65,0.6,0.6,5.58,0.87,570
3,13.84,2.38,19.5,89,1.8,0.83,0.48,9.01,0.57,480
1,13.3,2.14,17.0,94,2.4,2.19,0.27,3.95,1.02,1285
2,13.05,2.32,22.5,85,1.65,1.59,0.61,4.8,0.84,515
3,12.51,2.25,17.5,85,2.0,0.58,0.6,5.45,0.75,650
2,12.29,1.98,16.0,85,2.55,2.5,0.29,2.9,1.23,428
2,12.77,1.98,16.0,80,1.63,1.25,0.43,3.4,0.7,372
3,12.96,2.35,18.5,106,1.39,0.7,0.4,5.28,0.68,675
2,13.67,1.92,18.0,94,2.1,1.79,0.32,3.8,1.23,630
1,13.16,2.67,18.6,101,2.8,3.24,0.3,5.68,1.03,1185
2,12.37,1.36,10.6,88,1.98,0.57,0.28,1.95,1.05,520
2,12.47,2.2,19.0,162,2.5,2.27,0.32,2.6,1.16,937
2,11.81,2.74,21.5,134,1.6,0.99,0.14,2.5,0.95,625
1,13.24,2.29,17.5,103,2.64,2.63,0.32,4.36,0.82,680
1,14.1,2.3,18.0,105,2.95,3.32,0.22,5.75,1.25,1510
2,11.61,2.7,20.0,94,2.74,2.92,0.29,2.65,0.96,680
2,12.99,2.6,30.0,139,3.3,2.89,0.21,3.35,1.31,985
3,12.77,2.28,19.5,86,1.39,0.51,0.48,9.899999000000001,0.57,470
3,13.48,2.64,22.5,89,2.6,1.1,0.52,11.75,0.57,620
2,11.46,1.82,19.5,107,3.18,2.58,0.24,2.9,0.75,562
2,12.07,2.17,21.0,85,2.6,2.65,0.37,2.76,0.86,378
2,11.82,1.99,20.8,86,1.98,1.6,0.3,1.95,0.95,495
3,13.45,2.6,23.0,111,1.7,0.92,0.43,10.68,0.85,695
3,12.2,2.32,19.0,96,1.25,0.49,0.4,5.5,0.66,510
1,13.05,2.04,12.4,92,2.72,3.27,0.17,7.2,1.12,1150
3,13.17,2.32,22.0,93,1.74,0.63,0.61,7.9,0.6,725
2,12.08,2.3,23.6,70,2.2,1.59,0.42,1.74,1.07,625
2,12.17,2.53,19.0,104,1.89,1.75,0.45,2.95,1.45,355
2,12.42,2.73,26.5,102,2.2,2.13,0.43,2.08,0.92,365
2,11.87,2.39,21.0,82,2.86,3.03,0.21,2.8,0.75,380
2,12.21,1.75,16.8,151,1.85,1.28,0.14,2.85,1.28,718
1,13.94,2.27,17.4,108,2.88,3.54,0.32,8.9,1.12,1260
1,14.1,2.4,18.8,103,2.75,2.92,0.32,6.2,1.07,1060
2,12.67,2.24,18.0,99,2.2,1.94,0.3,2.62,1.23,450
1,14.75,2.39,11.4,91,3.1,3.69,0.43,5.4,1.25,1150
3,12.25,2.54,21.0,89,1.38,0.47,0.53,3.85,0.75,720
1,12.85,2.52,17.8,95,2.48,2.37,0.26,3.93,1.09,1015
3,13.73,2.26,22.5,88,1.28,0.47,0.52,6.62,0.78,520
1,14.06,2.28,16.0,126,3.0,3.17,0.24,5.65,1.09,780
1,13.63,2.7,17.2,112,2.85,2.91,0.3,7.3,1.28,1310
2,12.33,1.95,14.8,136,1.9,1.85,0.35,3.4,1.06,750
1,13.82,2.42,14.0,111,3.88,3.74,0.32,7.05,1.01,1190
2,12.08,1.7,17.5,97,2.23,2.17,0.26,3.3,1.27,710
2,13.03,1.71,16.0,86,1.95,2.03,0.24,4.6,1.19,392
1,14.37,2.5,16.8,113,3.85,3.49,0.24,7.8,0.86,1480
3,13.17,2.37,20.0,120,1.65,0.68,0.53,9.3,0.6,840
2,12.72,2.28,22.5,84,1.38,1.76,0.48,3.3,0.88,488
1,14.39,2.45,14.6,96,2.5,2.52,0.3,5.25,1.02,1290
2,13.34,2.36,17.0,110,2.53,1.3,0.55,3.17,1.02,750
2,11.66,1.92,16.0,97,1.61,1.57,0.34,3.8,1.23,428
2,11.84,2.58,18.0,94,2.2,2.21,0.22,3.05,0.79,520
3,12.86,2.32,18.0,122,1.51,1.25,0.21,4.1,0.76,630
1,13.75,2.41,16.0,89,2.6,2.76,0.29,5.6,1.15,1320
3,12.53,2.64,25.0,96,1.79,0.6,0.63,5.0,0.82,515
3,13.11,2.75,25.5,116,2.2,1.28,0.26,7.1,0.61,425
1,14.38,2.38,12.0,102,3.3,3.64,0.29,7.5,1.2,1547
1,14.23,2.43,15.6,127,2.8,3.06,0.28,5.64,1.04,1065
2,12.0,2.42,22.0,86,1.45,1.25,0.5,3.6,1.05,450
3,13.23,2.28,18.5,98,1.8,0.83,0.61,10.52,0.56,675
1,14.38,2.28,16.0,102,3.25,3.17,0.27,4.9,1.04,1065
1,14.12,2.32,16.8,95,2.2,2.43,0.26,5.0,1.17,1280
2,12.0,2.0,19.0,87,2.0,1.64,0.37,1.28,0.93,564
2,12.34,2.46,21.0,98,2.56,2.11,0.34,2.8,0.8,438
1,13.48,2.41,20.5,100,2.7,2.98,0.26,5.1,1.04,920
1,13.29,2.68,16.8,102,3.0,3.23,0.31,6.0,1.07,1270
1,13.41,2.12,18.8,90,2.45,2.68,0.27,4.28,0.91,1035
3,13.71,2.45,20.5,95,1.68,0.61,0.52,7.7,0.64,740
2,12.37,2.56,18.1,98,2.42,2.65,0.37,4.6,1.19,678
1,13.2,2.14,11.2,100,2.65,2.76,0.26,4.38,1.05,1050
2,11.45,2.42,20.0,96,2.9,2.79,0.32,3.25,0.8,625
3,13.62,2.35,20.0,92,2.0,0.8,0.47,4.4,0.91,550
1,13.88,2.59,15.0,101,3.25,3.56,0.17,5.43,0.88,1095
2,12.42,2.27,22.0,90,1.68,1.84,0.66,2.7,0.86,315
3,12.81,2.4,24.0,98,1.15,1.09,0.27,5.7,0.66,560
3,12.58,2.1,20.0,103,1.48,0.58,0.53,7.6,0.58,640
1,13.83,2.62,20.0,115,2.95,3.4,0.4,6.6,1.13,1130
1,13.07,2.1,15.5,98,2.4,2.64,0.28,3.7,1.18,1020
3,12.7,2.36,21.5,106,1.7,1.2,0.17,5.0,0.78,600
1,13.77,2.68,17.1,115,3.0,2.79,0.39,6.3,1.13,1375
3,12.84,2.61,24.0,101,2.32,0.6,0.53,4.92,0.89,590
2,12.37,2.3,24.5,88,2.22,2.45,0.4,2.12,0.89,342
1,13.51,2.65,19.0,110,2.35,2.53,0.29,4.2,1.1,1095
1,13.87,2.8,19.4,107,2.95,2.97,0.37,4.5,1.25,915
2,12.08,2.5,22.5,84,2.56,2.29,0.43,2.9,0.93,385
1,13.58,2.36,19.1,106,2.86,3.19,0.22,6.9,1.09,1515
3,13.08,2.36,21.5,113,1.41,1.39,0.34,9.4,0.57,550
2,11.79,2.78,28.5,92,2.13,2.24,0.58,3.0,0.97,466
3,12.45,2.64,27.0,97,1.9,0.58,0.63,7.5,0.67,880
1,13.68,2.36,17.2,104,2.42,2.69,0.42,3.84,1.23,990
3,13.52,2.72,23.5,97,1.55,0.52,0.5,4.35,0.89,520
3,13.5,2.62,24.0,123,1.4,1.57,0.22,8.6,0.59,500
3,12.87,2.48,21.5,86,1.7,0.65,0.47,7.65,0.54,625
1,14.02,2.21,16.0,96,2.65,2.33,0.26,4.7,1.04,1035
2,12.29,2.21,18.0,88,2.85,2.99,0.45,2.3,1.42,406
2,12.08,2.51,24.0,78,2.0,1.58,0.4,2.2,1.31,630
2,12.7,2.4,23.0,101,2.83,2.55,0.43,2.57,1.19,463
2,11.03,2.2,21.5,85,2.46,2.17,0.52,1.9,1.71,407
3,13.32,2.38,21.5,92,1.93,0.76,0.45,8.42,0.55,650
3,14.13,2.74,24.5,96,2.05,0.76,0.56,9.2,0.61,560
2,13.49,2.24,24.0,87,1.88,1.84,0.27,3.74,0.98,472
2,11.84,2.23,18.0,112,1.72,1.32,0.43,2.65,0.96,500
1,13.05,3.22,25.0,124,2.63,2.68,0.47,3.58,1.13,830
2,12.72,2.2,18.8,86,2.2,2.53,0.26,3.9,1.16,714
3,12.82,2.3,19.5,88,1.48,0.66,0.4,10.26,0.72,685
3,13.4,2.86,25.0,112,1.98,0.96,0.27,8.5,0.67,630
1,14.22,2.51,13.2,128,3.0,3.04,0.2,5.1,0.89,760
1,13.72,2.5,16.7,108,3.4,3.67,0.19,6.8,0.89,1285
3,12.93,2.7,21.0,96,1.54,0.5,0.53,4.6,0.77,600
2,11.64,2.46,21.6,84,1.95,1.69,0.48,2.8,1.0,680
2,12.29,2.21,20.4,103,1.1,1.02,0.37,3.05,0.9059999999999999,870
2,11.65,2.62,26.0,88,1.92,1.61,0.4,2.6,1.36,562
1,13.28,2.84,15.5,110,2.6,2.68,0.34,4.6,1.09,880
1,12.93,2.65,18.6,102,2.41,2.41,0.25,4.5,1.03,770
1,13.86,2.27,16.0,98,2.98,3.15,0.22,7.22,1.01,1045
2,11.82,1.88,19.5,86,2.5,1.64,0.37,2.06,0.94,415
2,12.37,1.92,19.6,78,2.11,2.0,0.27,4.68,1.12,510
2,12.42,2.19,22.5,108,2.0,2.09,0.34,2.06,1.06,345
1,13.9,2.12,16.0,101,3.1,3.39,0.21,6.1,0.91,985
3,14.16,2.48,20.0,91,1.68,0.7,0.44,9.7,0.62,660
